date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:19	4377/4377	---M-Z	200	added ('OK')	application/javascript	etag:W/%224377-1749774178000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/js/respond.min.js.xhtml?ln=ui-template-0.4&version=9.2.0	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/js/respond.min.js54c4.xhtml	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:19	283/283	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2000:37:04%20GMT	https://ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/sort-icon-asc.png?version=9.2.0	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/sort-icon-asce45f.png	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:19	282/282	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2000:37:04%20GMT	https://ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/sort-icon-desc.png?version=9.2.0	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/sort-icon-desce45f.png	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:19	511/511	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2000:37:04%20GMT	https://ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/down-arrow.png?version=9.2.0	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/down-arrowe45f.png	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:20	661/661	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2000:37:04%20GMT	https://ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/ICONS_RED_CIRCLE_LOCATION1.png?version=9.2.0	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/ICONS_RED_CIRCLE_LOCATION1e45f.png	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:20	990/990	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2000:37:04%20GMT	https://ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/login.png?version=9.2.0	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/logine45f.png	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:20	1391/1391	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2000:37:04%20GMT	https://ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/header-background.png?version=9.2.0	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/header-backgrounde45f.png	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:20	4754/4754	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Jun%202025%2000:22:58%20GMT	https://ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/ui-0.2/ui-icons_898989_256x240.png	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/ui-0.2/ui-icons_898989_256x240.png	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:21	1247/1247	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2000:37:04%20GMT	https://ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/loc-finder-imge1-selected.png?version=9.2.0	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/loc-finder-imge1-selectede45f.png	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:21	7492/7492	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2000:37:04%20GMT	https://ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/dhl_logo.png?version=9.2.0	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/dhl_logoe45f.png	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
